title,url,agency,location,salary,closing_date,search_term
IT SPECIALIST (NETWORK),https://www.usajobs.gov/job/829387000,Army National Guard Units,"Augusta, Maine Augusta, Maine",Not specified,Opening and closing dates Open 01/27/2025 to 03/14/2025,IT Auditor
IT SPECIALIST (CUSTSPT),https://www.usajobs.gov/job/830337500,Army National Guard Units,"Lincoln, Nebraska Lincoln, Nebraska",Not specified,Opening and closing dates Open 02/04/2025 to 09/26/2025,IT Auditor
IT SPECIALIST (SYSADMIN),https://www.usajobs.gov/job/830603300,"Commander, Navy Installations","Washington Navy Yard, District of Columbia Washington Navy Yard, District of Columbia",Not specified,Opening and closing dates Open 02/10/2025 to 03/10/2025,IT Auditor
ITSPEC (CUSTSPT),https://www.usajobs.gov/job/831040900,Air National Guard Units,"Atlantic City, New Jersey Atlantic City, New Jersey",Not specified,Opening and closing dates Open 02/11/2025 to 03/13/2025,IT Auditor
IT SPECIALIST (SYSADMIN),https://www.usajobs.gov/job/831906900,Air National Guard Units,"Springfield, Ohio Springfield, Ohio",Not specified,Opening and closing dates Open 02/19/2025 to 03/19/2025,IT Auditor
IT SPECIALIST (SYSADMIN),https://www.usajobs.gov/job/831990200,Naval Supply Systems Command,"Naval Support Activity, Mechanicsburg, Pennsylvania Naval Support Activity, Mechanicsburg, Pennsylvania",Not specified,Opening and closing dates Open 02/24/2025 to 03/12/2025,IT Auditor
IT Specialist (PLCYPLN),https://www.usajobs.gov/job/832098000,U.S. Army Cyber Command,"Fort Carson, Colorado Fort Carson, Colorado",Not specified,Opening and closing dates Open 02/25/2025 to 03/10/2025,IT Auditor
IT SPECIALIST (DATAMGT),https://www.usajobs.gov/job/832139400,Defense Finance and Accounting Service,Multiple Locations,Not specified,Opening and closing dates Open 02/24/2025 to 03/10/2025,IT Auditor
IT SPEC (CUSTSPT) - TITLE 32,https://www.usajobs.gov/job/832166600,Air National Guard Units,"Robins AFB, Georgia Robins AFB, Georgia",Not specified,Opening and closing dates Open 02/26/2025 to 12/31/2025,IT Auditor
IT SPECIALIST (APPSW),https://www.usajobs.gov/job/832286900,Defense Finance and Accounting Service,Multiple Locations,Not specified,Opening and closing dates Open 02/26/2025 to 03/12/2025,IT Auditor
IT SPECIALIST (APPSW),https://www.usajobs.gov/job/832313700,Defense Finance and Accounting Service,Multiple Locations,Not specified,Opening and closing dates Open 03/03/2025 to 03/17/2025,IT Auditor
IT SPECIALIST (NETWORK),https://www.usajobs.gov/job/832371600,Naval Sea Systems Command,"Naval Surface Warfare Center, Maryland Naval Surface Warfare Center, Maryland",Not specified,Opening and closing dates Open 02/26/2025 to 03/11/2025,IT Auditor
IT Specialist (APPSW),https://www.usajobs.gov/job/832432000,Defense Contract Management Agency,"Chantilly, Virginia Chantilly, Virginia",Not specified,Opening and closing dates Open 02/25/2025 to 03/10/2025,IT Auditor
QUALITY ASSURANCE ENGINEER,https://www.usajobs.gov/job/830874000,Defense Contract Management Agency,"Roy, Utah Roy, Utah",Not specified,Opening and closing dates Open 02/10/2025 to 03/10/2025,QA Engineer
Quality Assurance Engineer,https://www.usajobs.gov/job/832428000,Defense Contract Management Agency,Multiple Locations,Not specified,Opening and closing dates Open 02/25/2025 to 03/10/2025,QA Engineer
Quality Assurance,https://www.usajobs.gov/job/828847800,Department of the Air Force - Agency Wide,Location Negotiable After Selection,Not specified,Opening and closing dates Open 01/21/2025 to 01/20/2026,QA Engineer
Quality Assurance,https://www.usajobs.gov/job/828878400,Department of the Air Force - Agency Wide,Location Negotiable After Selection,Not specified,Opening and closing dates Open 01/21/2025 to 01/20/2026,QA Engineer
Quality Assurance Spec,https://www.usajobs.gov/job/833372100,U.S. Coast Guard,"Mobile, Alabama Mobile, Alabama",Not specified,Opening and closing dates Open 03/10/2025 to 03/21/2025,QA Engineer
Quality Assurance Tester,https://www.usajobs.gov/job/829366000,Department of Homeland Security - Agency Wide,"Springfield, Virginia Springfield, Virginia",Not specified,Opening and closing dates Open 01/27/2025 to 04/07/2025,QA Engineer
QA SPECIALIST (SHIP BUILDING),https://www.usajobs.gov/job/820828200,Naval Sea Systems Command,"Amelia, Louisiana Amelia, Louisiana",Not specified,Opening and closing dates Open 11/27/2024 to 11/25/2025,QA Engineer
QUALITY ASSURANCE SPECIALIST,https://www.usajobs.gov/job/812592800,U.S. Pacific Fleet,"Naval Station Complex, San Diego, California Naval Station Complex, San Diego, California",Not specified,Opening and closing dates Open 10/03/2024 to 10/02/2025,QA Engineer
QUALITY ASSURANCE SPECIALIST,https://www.usajobs.gov/job/816074300,Army National Guard Units,"Lincoln, Nebraska Lincoln, Nebraska",Not specified,Opening and closing dates Open 10/25/2024 to 09/26/2025,QA Engineer
Quality Assurance Specialist,https://www.usajobs.gov/job/824293700,Naval Supply Systems Command,"Point Mugu, California Point Mugu, California",Not specified,Opening and closing dates Open 12/17/2024 to 06/17/2025,QA Engineer
QUALITY ASSURANCE SPECIALIST,https://www.usajobs.gov/job/824497400,Army National Guard Units,"Lincoln, Nebraska Lincoln, Nebraska",Not specified,Opening and closing dates Open 12/17/2024 to 09/26/2025,QA Engineer
QUALITY ASSURANCE SPECIALIST,https://www.usajobs.gov/job/831015900,Air National Guard Units,"Elmendorf AFB, Alaska Elmendorf AFB, Alaska",Not specified,Opening and closing dates Open 02/10/2025 to 03/12/2025,QA Engineer
QUALITY ASSURANCE SPECIALIST,https://www.usajobs.gov/job/832271900,Defense Contract Management Agency,"Hudson, New Hampshire Hudson, New Hampshire",Not specified,Opening and closing dates Open 02/24/2025 to 03/17/2025,QA Engineer
Quality Assurance Specialist,https://www.usajobs.gov/job/832408600,Army Tank-Automotive and Armament Command (TACOM),"Texarkana, Texas Texarkana, Texas",Not specified,Opening and closing dates Open 02/25/2025 to 03/11/2025,QA Engineer
QUALITY ASSURANCE TECHNICIAN,https://www.usajobs.gov/job/832905600,Defense Finance and Accounting Service,"Rome, New York Rome, New York",Not specified,Opening and closing dates Open 02/28/2025 to 03/13/2025,QA Engineer
Quality Assurance Specialist,https://www.usajobs.gov/job/833034500,Defense Contract Management Agency,"Elkton, Maryland Elkton, Maryland",Not specified,Opening and closing dates Open 03/03/2025 to 03/12/2025,QA Engineer
Quality Assurance Specialist,https://www.usajobs.gov/job/833209800,Architect of the Capitol,"Washington DC, District of Columbia Washington DC, District of Columbia",Not specified,Opening and closing dates Open 03/05/2025 to 03/19/2025,QA Engineer
QUALITY ASSURANCE SPECIALIST (F-22),https://www.usajobs.gov/job/832191300,Air National Guard Units,"Hickam AFB, Hawaii Hickam AFB, Hawaii",Not specified,Opening and closing dates Open 02/21/2025 to 03/14/2025,QA Engineer
QUALITY ASSURANCE SPECIALIST (TITLE 5),https://www.usajobs.gov/job/831175400,Air National Guard Units,"Knoxville, Tennessee Knoxville, Tennessee",Not specified,Opening and closing dates Open 02/11/2025 to 03/11/2025,QA Engineer
QUALITY ASSURANCE SPECIALIST (TITLE 5),https://www.usajobs.gov/job/832576500,Air National Guard Units,"Jacksonville, Florida Jacksonville, Florida",Not specified,Opening and closing dates Open 02/27/2025 to 03/28/2025,QA Engineer
QUALITY ASSURANCE SPECIALIST (TITLE 32),https://www.usajobs.gov/job/793195600,Army National Guard Units,"Decatur, Illinois Decatur, Illinois",Not specified,Opening and closing dates Open 06/03/2024 to 06/02/2025,QA Engineer
QUALITY ASSURANCE SPECIALIST (TITLE 32),https://www.usajobs.gov/job/831268600,Army National Guard Units,"Morrisville, North Carolina Morrisville, North Carolina",Not specified,Opening and closing dates Open 02/13/2025 to 03/14/2025,QA Engineer
QUALITY ASSURANCE SPECIALIST (TITLE 32),https://www.usajobs.gov/job/832700200,Air National Guard Units,"Knoxville, Tennessee Knoxville, Tennessee",Not specified,Opening and closing dates Open 02/26/2025 to 03/27/2025,QA Engineer
Quality Assurance Specialist (Nuclear),https://www.usajobs.gov/job/832936200,Defense Contract Management Agency,"Sykesville, Maryland Sykesville, Maryland",Not specified,Opening and closing dates Open 02/28/2025 to 03/10/2025,QA Engineer
Quality Assurance Specialist (Aircraft),https://www.usajobs.gov/job/832495200,Defense Contract Management Agency,"Everett, Washington Everett, Washington",Not specified,Opening and closing dates Open 02/25/2025 to 03/10/2025,QA Engineer
IT Program Manager,https://www.usajobs.gov/job/833254100,Federal Law Enforcement Training Centers,"Glynco, Georgia Glynco, Georgia",Not specified,Opening and closing dates Open 03/05/2025 to 03/17/2025,IT Project Manager
IT PROJECT MANAGER (SYSANALYSIS),https://www.usajobs.gov/job/832687600,Department of the Air Force - Agency Wide,"Kelly AFB, Texas Kelly AFB, Texas",Not specified,Opening and closing dates Open 02/27/2025 to 03/12/2025,IT Project Manager
IT Project Manager (Network Services) - Network Engineer,https://www.usajobs.gov/job/832910000,"Justice, Bureau of Prisons/Federal Prison System","Washington, District of Columbia Washington, District of Columbia",Not specified,Opening and closing dates Open 02/27/2025 to 03/20/2025,IT Project Manager
IT Program Manager (APPSW-INFOSEC),https://www.usajobs.gov/job/833259800,Department of State - Agency Wide,"Washington, District of Columbia Washington, District of Columbia",Not specified,Opening and closing dates Open 03/06/2025 to 03/12/2025,IT Project Manager
Information Technology Project Manager (Policy and Planning),https://www.usajobs.gov/job/832412300,U.S. Army Cyber Command,"Wiesbaden, Germany Wiesbaden, Germany",Not specified,Opening and closing dates Open 02/27/2025 to 03/12/2025,IT Project Manager
IT Specialist (Financial Systems Help Desk Manager),https://www.usajobs.gov/job/833288300,National Gallery of Art,"Washington, District of Columbia Washington, District of Columbia",Not specified,Opening and closing dates Open 03/07/2025 to 03/21/2025,IT Project Manager
IT Specialist (Financial Systems Help Desk Manager),https://www.usajobs.gov/job/833288500,National Gallery of Art,"Washington, District of Columbia Washington, District of Columbia",Not specified,Opening and closing dates Open 03/07/2025 to 03/21/2025,IT Project Manager
Information Technology Specialist (Product Manager),https://www.usajobs.gov/job/826059300,Administrative Office of the U.S. Courts,"Washington, District of Columbia Washington, District of Columbia",Not specified,Opening and closing dates Open 02/18/2025 to 03/11/2025,IT Project Manager
Information Technology Specialist (Policy and Planning),https://www.usajobs.gov/job/832717800,U.S. Army Cyber Command,"Wiesbaden, Germany Wiesbaden, Germany",Not specified,Opening and closing dates Open 02/28/2025 to 03/14/2025,IT Project Manager
Project Manager (Interdisciplinary),https://www.usajobs.gov/job/825915200,U.S. Army Corps of Engineers,Multiple Locations,Not specified,Opening and closing dates Open 01/02/2025 to 12/31/2025,IT Project Manager
LEAD PROGRAM MANAGER,https://www.usajobs.gov/job/832755100,Naval Supply Systems Command,"Naval Support Activity, Mechanicsburg, Pennsylvania Naval Support Activity, Mechanicsburg, Pennsylvania",Not specified,Opening and closing dates Open 03/04/2025 to 03/11/2025,IT Project Manager
General Engineer/Architect (Senior Project Manager),https://www.usajobs.gov/job/823056700,Architect of the Capitol,"Washington DC, District of Columbia Washington DC, District of Columbia",Not specified,Opening and closing dates Open 12/09/2024 to 07/31/2025,IT Project Manager
IT Specialist (PLCYPLN),https://www.usajobs.gov/job/832098000,U.S. Army Cyber Command,"Fort Carson, Colorado Fort Carson, Colorado",Not specified,Opening and closing dates Open 02/25/2025 to 03/10/2025,IT Project Manager
Project Manager (Interdisciplinary),https://www.usajobs.gov/job/825916700,U.S. Army Corps of Engineers,Multiple Locations,Not specified,Opening and closing dates Open 01/02/2025 to 12/31/2025,IT Project Manager
Project Manager (Interdisciplinary),https://www.usajobs.gov/job/825914700,U.S. Army Corps of Engineers,Multiple Locations,Not specified,Opening and closing dates Open 01/02/2025 to 12/31/2025,IT Project Manager
"Program Analyst, Portfolio Management Office (O-5 Billet) Non-Supervisory",https://www.usajobs.gov/job/832488200,Immigration and Customs Enforcement,"Washington, District of Columbia Washington, District of Columbia",Not specified,Opening and closing dates Open 02/26/2025 to 03/30/2025,IT Project Manager
Special Assistant,https://www.usajobs.gov/job/827456600,Department of Homeland Security - Agency Wide,"Washington, District of Columbia Washington, District of Columbia",Not specified,Opening and closing dates Open 01/10/2025 to 05/30/2025,IT Project Manager
IT SPECIALIST (DATAMGT),https://www.usajobs.gov/job/832139400,Defense Finance and Accounting Service,Multiple Locations,Not specified,Opening and closing dates Open 02/24/2025 to 03/10/2025,IT Project Manager
Project Manager (Interdisciplinary),https://www.usajobs.gov/job/825914000,U.S. Army Corps of Engineers,Multiple Locations,Not specified,Opening and closing dates Open 01/02/2025 to 12/31/2025,IT Project Manager
FINANCIAL SYSTEMS SPECIALIST,https://www.usajobs.gov/job/832977300,Defense Finance and Accounting Service,"Whitehall, Ohio Whitehall, Ohio",Not specified,Opening and closing dates Open 02/28/2025 to 03/14/2025,IT Project Manager
Information Technology Specialist (Policy and Planning),https://www.usajobs.gov/job/832437300,U.S. Army Cyber Command,"Fort Shafter, Hawaii Fort Shafter, Hawaii",Not specified,Opening and closing dates Open 02/26/2025 to 03/10/2025,IT Project Manager
IT SPECIALIST (INFOSEC),https://www.usajobs.gov/job/832397700,U.S. Army Cyber Command,"Fort Campbell, Kentucky Fort Campbell, Kentucky",Not specified,Opening and closing dates Open 02/28/2025 to 03/10/2025,IT Project Manager
Management and Program Analyst,https://www.usajobs.gov/job/833449700,Veterans Health Administration,"Chicago, Illinois Chicago, Illinois",Not specified,Opening and closing dates Open 03/10/2025 to 03/21/2025,IT Project Manager
Information Technology Specialist (Systems Analysis),https://www.usajobs.gov/job/832216300,Administrative Office of the U.S. Courts,"Washington, District of Columbia Washington, District of Columbia",Not specified,Opening and closing dates Open 02/28/2025 to 03/14/2025,IT Project Manager
Supervisory Emergency Management Specialist (PLAN Planning Manager),https://www.usajobs.gov/job/833183100,Federal Emergency Management Agency,Location Negotiable After Selection,Not specified,Opening and closing dates Open 03/04/2025 to 03/19/2025,IT Project Manager
SUPERVISORY GENERAL ENGINEER,https://www.usajobs.gov/job/833014500,U.S. Pacific Fleet,"Pearl Harbor Naval Base, Oahu, Hawaii Pearl Harbor Naval Base, Oahu, Hawaii",Not specified,Opening and closing dates Open 03/03/2025 to 03/13/2025,Data Engineer
ENGINEER/SCIENTIST,https://www.usajobs.gov/job/816083700,Naval Sea Systems Command,"Dam Neck Naval Facility, Virginia Beach, Virginia Dam Neck Naval Facility, Virginia Beach, Virginia",Not specified,Opening and closing dates Open 10/28/2024 to 04/25/2025,Data Engineer
IT Specialist (Data Management),https://www.usajobs.gov/job/833162700,Federal Emergency Management Agency,"Philadelphia, Pennsylvania Philadelphia, Pennsylvania",Not specified,Opening and closing dates Open 03/04/2025 to 03/10/2025,Data Engineer
PRODUCTION CONTROLLER,https://www.usajobs.gov/job/832860100,Army National Guard Units,"Boone, Iowa Boone, Iowa",Not specified,Opening and closing dates Open 02/27/2025 to 03/13/2025,Data Engineer
GENERAL ENGINEER/ARCHITECT,https://www.usajobs.gov/job/831745700,Naval Facilities Engineering Systems Command,"Naval Air Station Jacksonville, Florida Naval Air Station Jacksonville, Florida",Not specified,Opening and closing dates Open 02/19/2025 to 05/20/2025,Data Engineer
PRODUCTION CONTROLLER (TITLE 32),https://www.usajobs.gov/job/833342900,Army National Guard Units,"Raleigh, North Carolina Raleigh, North Carolina",Not specified,Opening and closing dates Open 03/08/2025 to 04/06/2025,Data Engineer
ELECTRONICS ENGINEER,https://www.usajobs.gov/job/829545300,Naval Sea Systems Command,Multiple Locations,Not specified,Opening and closing dates Open 01/29/2025 to 01/28/2026,Data Engineer
Civil Engineer (Hydraulics),https://www.usajobs.gov/job/828600600,U.S. Army Corps of Engineers,"Los Angeles, California Los Angeles, California",Not specified,Opening and closing dates Open 01/21/2025 to 07/18/2025,Data Engineer
ENGINEER/SCIENTIST,https://www.usajobs.gov/job/793433300,Naval Sea Systems Command,"Dam Neck Naval Facility, Virginia Beach, Virginia Dam Neck Naval Facility, Virginia Beach, Virginia",Not specified,Opening and closing dates Open 05/31/2024 to 05/30/2025,Data Engineer
PRODUCTION CONTROLLER,https://www.usajobs.gov/job/833123000,Army National Guard Units,"Cedar Rapids, Iowa Cedar Rapids, Iowa",Not specified,Opening and closing dates Open 03/03/2025 to 03/17/2025,Data Engineer
ENGINEER/SCIENTIST,https://www.usajobs.gov/job/802266100,Naval Sea Systems Command,"Dam Neck Naval Facility, Virginia Beach, Virginia Dam Neck Naval Facility, Virginia Beach, Virginia",Not specified,Opening and closing dates Open 08/01/2024 to 07/31/2025,Data Engineer
IT SPECIALIST (SYSADMIN/INFOSEC),https://www.usajobs.gov/job/832391400,U.S. Pacific Fleet,"Corpus Christi, Texas Corpus Christi, Texas",Not specified,Opening and closing dates Open 02/25/2025 to 03/26/2025,Data Engineer
ENGINEER/SCIENTIST,https://www.usajobs.gov/job/811720800,Naval Sea Systems Command,"Dahlgren, Virginia Dahlgren, Virginia",Not specified,Opening and closing dates Open 09/30/2024 to 09/29/2025,Data Engineer
Civil Engineer (Geotechnical),https://www.usajobs.gov/job/792235100,U.S. Army Corps of Engineers,"Savannah, Georgia Savannah, Georgia",Not specified,Opening and closing dates Open 05/21/2024 to 03/31/2025,Data Engineer
PRODUCTION CONTROLLER - TITLE 32,https://www.usajobs.gov/job/831270900,Army National Guard Units,"Calhoun, Georgia Calhoun, Georgia",Not specified,Opening and closing dates Open 02/18/2025 to 03/18/2025,Data Engineer
ENGINEER/SCIENTIST,https://www.usajobs.gov/job/790997600,Naval Sea Systems Command,"Dam Neck Naval Facility, Virginia Beach, Virginia Dam Neck Naval Facility, Virginia Beach, Virginia",Not specified,Opening and closing dates Open 05/13/2024 to 05/12/2025,Data Engineer
Supervisory Biomedical Engineer (Clinical),https://www.usajobs.gov/job/832887700,Veterans Health Administration,"Fresno, California Fresno, California",Not specified,Opening and closing dates Open 02/28/2025 to 03/12/2025,Data Engineer
Engineer (Public Notice),https://www.usajobs.gov/job/811831000,Air Force Materiel Command,Multiple Locations,Not specified,Opening and closing dates Open 10/01/2024 to 09/30/2025,Data Engineer
Supervisory Healthcare Engineer,https://www.usajobs.gov/job/833450000,Veterans Health Administration,"Pensacola, Florida Pensacola, Florida",Not specified,Opening and closing dates Open 03/10/2025 to 03/18/2025,Data Engineer
ELECTRICAL ENGINEER,https://www.usajobs.gov/job/820113300,U.S. Army Corps of Engineers,"Jacksonville, Florida Jacksonville, Florida",Not specified,Opening and closing dates Open 11/21/2024 to 11/20/2025,Data Engineer
INTERDISCIPLINARY ENINGEER/SCIENTIST,https://www.usajobs.gov/job/824539600,Naval Air Systems Command,"Patuxent River, Maryland Patuxent River, Maryland",Not specified,Opening and closing dates Open 12/18/2024 to 12/17/2025,Data Engineer
Safety Engineer (Special Programs),https://www.usajobs.gov/job/819122000,Veterans Health Administration,"Phoenix, Arizona Phoenix, Arizona",Not specified,Opening and closing dates Open 11/15/2024 to 03/10/2025,Data Engineer
"Chief, Department of Veterans Affairs (VA) Division (Interdisciplinary)",https://www.usajobs.gov/job/832856100,U.S. Army Corps of Engineers,"Louisville, Kentucky Louisville, Kentucky",Not specified,Opening and closing dates Open 03/04/2025 to 03/14/2025,Data Engineer
"Chief, Department of Veteran Affairs (VA) Division (Interdisciplinary)",https://www.usajobs.gov/job/832859800,U.S. Army Corps of Engineers,"Louisville, Kentucky Louisville, Kentucky",Not specified,Opening and closing dates Open 03/04/2025 to 03/14/2025,Data Engineer
Fire Protection Engineer,https://www.usajobs.gov/job/832869400,Architect of the Capitol,"Washington, District of Columbia Washington, District of Columbia",Not specified,Opening and closing dates Open 02/28/2025 to 06/30/2025,Data Engineer
Software Engineer II,https://www.usajobs.gov/job/832152200,House of Representatives,"Washington DC, District of Columbia Washington DC, District of Columbia",Not specified,Opening and closing dates Open 02/21/2025 to 04/30/2025,DevOps Engineer
ENGINEER/SCIENTIST,https://www.usajobs.gov/job/793433300,Naval Sea Systems Command,"Dam Neck Naval Facility, Virginia Beach, Virginia Dam Neck Naval Facility, Virginia Beach, Virginia",Not specified,Opening and closing dates Open 05/31/2024 to 05/30/2025,Machine Learning Engineer
INTERDISCIPLINARY ENGINEER/ SCIENTIST,https://www.usajobs.gov/job/830881200,Naval Air Systems Command,"China Lake, California China Lake, California",Not specified,Opening and closing dates Open 02/10/2025 to 03/11/2025,Machine Learning Engineer
INTERDISCIPLINARY ENGINEER/SCIENTIST,https://www.usajobs.gov/job/833008200,Naval Air Systems Command,Multiple Locations,Not specified,Opening and closing dates Open 03/06/2025 to 03/12/2025,Machine Learning Engineer
Physical Embedded and Control Systems Security (PECSS) - Developmental,https://www.usajobs.gov/job/830892700,DHS Headquarters,Multiple Locations,Not specified,Opening and closing dates Open 02/10/2025 to 03/12/2025,Embedded Systems Engineer
Physical Embedded and Control Systems Security - Technical,https://www.usajobs.gov/job/830897900,DHS Headquarters,Multiple Locations,Not specified,Opening and closing dates Open 02/10/2025 to 03/12/2025,Embedded Systems Engineer
"Physical, Embedded, and Control Systems Security - Leadership",https://www.usajobs.gov/job/830892100,DHS Headquarters,Multiple Locations,Not specified,Opening and closing dates Open 02/10/2025 to 03/12/2025,Embedded Systems Engineer
ENGINEER/SCIENTIST,https://www.usajobs.gov/job/829622700,Naval Sea Systems Command,"Dahlgren, Virginia Dahlgren, Virginia",Not specified,Opening and closing dates Open 01/29/2025 to 03/14/2025,Embedded Systems Engineer
Interdisciplinary Engineer (Electronics),https://www.usajobs.gov/job/831465200,Defense Contract Management Agency,"Saint Louis, Missouri Saint Louis, Missouri",Not specified,Opening and closing dates Open 02/07/2025 to 03/10/2025,Embedded Systems Engineer
Interdisciplinary Engineer (0855 Electronics Engineer),https://www.usajobs.gov/job/831716600,Defense Contract Management Agency,"El Segundo, California El Segundo, California",Not specified,Opening and closing dates Open 02/18/2025 to 03/21/2025,Embedded Systems Engineer
Interdisciplinary Engineer,https://www.usajobs.gov/job/831738800,Defense Contract Management Agency,"Chantilly, Virginia Chantilly, Virginia",Not specified,Opening and closing dates Open 02/18/2025 to 02/16/2026,Embedded Systems Engineer
Interdisciplinary Engineer,https://www.usajobs.gov/job/831708200,Defense Contract Management Agency,"Orlando, Florida Orlando, Florida",Not specified,Opening and closing dates Open 02/18/2025 to 03/10/2025,Embedded Systems Engineer
Public Notice for Mechanical Engineer (Direct Hire),https://www.usajobs.gov/job/684260900,Federal Aviation Administration,May be filled in various FAA duty locations,Not specified,Opening and closing dates Open 09/23/2024 to 09/22/2025,Data Warehouse Engineer
Software Engineer II,https://www.usajobs.gov/job/832152200,House of Representatives,"Washington DC, District of Columbia Washington DC, District of Columbia",Not specified,Opening and closing dates Open 02/21/2025 to 04/30/2025,Software Engineer
Computer Engineer,https://www.usajobs.gov/job/832409600,Defense Contract Management Agency,"Garden City, New York Garden City, New York",Not specified,Opening and closing dates Open 02/25/2025 to 03/10/2025,Software Engineer
ENGINEER/SCIENTIST,https://www.usajobs.gov/job/793433300,Naval Sea Systems Command,"Dam Neck Naval Facility, Virginia Beach, Virginia Dam Neck Naval Facility, Virginia Beach, Virginia",Not specified,Opening and closing dates Open 05/31/2024 to 05/30/2025,Software Engineer
ENGINEER/SCIENTIST,https://www.usajobs.gov/job/816135300,Naval Sea Systems Command,"Dahlgren, Virginia Dahlgren, Virginia",Not specified,Opening and closing dates Open 10/31/2024 to 10/30/2025,Software Engineer
CIVIL ENGINEER SERIES,https://www.usajobs.gov/job/816161400,Air Force Civilian Career Training,Multiple Locations,Not specified,Opening and closing dates Open 10/25/2024 to 09/30/2025,Software Engineer
IT SPECIALIST (SYSADMIN/INFOSEC),https://www.usajobs.gov/job/832391400,U.S. Pacific Fleet,"Corpus Christi, Texas Corpus Christi, Texas",Not specified,Opening and closing dates Open 02/25/2025 to 03/26/2025,Software Engineer
ENGINEER/SCIENTIST,https://www.usajobs.gov/job/828067600,Naval Sea Systems Command,"Dahlgren, Virginia Dahlgren, Virginia",Not specified,Opening and closing dates Open 01/15/2025 to 03/17/2025,Software Engineer
Engineer (Public Notice),https://www.usajobs.gov/job/811831000,Air Force Materiel Command,Multiple Locations,Not specified,Opening and closing dates Open 10/01/2024 to 09/30/2025,Software Engineer
Principal Systems Engineer/ Senior Systems Engineer #208,https://www.usajobs.gov/job/833334400,Senate,"Washington DC, District of Columbia Washington DC, District of Columbia",Not specified,Opening and closing dates Open 03/06/2025 to 03/20/2025,Software Engineer
ENGINEER/SCIENTIST,https://www.usajobs.gov/job/829622700,Naval Sea Systems Command,"Dahlgren, Virginia Dahlgren, Virginia",Not specified,Opening and closing dates Open 01/29/2025 to 03/14/2025,Software Engineer
Interdisciplinary Engineer (Electronics),https://www.usajobs.gov/job/831465200,Defense Contract Management Agency,"Saint Louis, Missouri Saint Louis, Missouri",Not specified,Opening and closing dates Open 02/07/2025 to 03/10/2025,Software Engineer
Interdisciplinary Engineer (0855 Electronics Engineer),https://www.usajobs.gov/job/831716600,Defense Contract Management Agency,"El Segundo, California El Segundo, California",Not specified,Opening and closing dates Open 02/18/2025 to 03/21/2025,Software Engineer
Interdisciplinary Engineer,https://www.usajobs.gov/job/831738800,Defense Contract Management Agency,"Chantilly, Virginia Chantilly, Virginia",Not specified,Opening and closing dates Open 02/18/2025 to 02/16/2026,Software Engineer
SYSTEMS ENGINEER,https://www.usajobs.gov/job/803407600,Naval Sea Systems Command,"Keyport, Washington Keyport, Washington",Not specified,Opening and closing dates Open 08/08/2024 to 08/07/2025,Software Engineer
ENGINEER/SCIENTIST,https://www.usajobs.gov/job/804207900,Naval Sea Systems Command,"Dahlgren, Virginia Dahlgren, Virginia",Not specified,Opening and closing dates Open 08/12/2024 to 08/11/2025,Software Engineer
Interdisciplinary Engineer,https://www.usajobs.gov/job/831708200,Defense Contract Management Agency,"Orlando, Florida Orlando, Florida",Not specified,Opening and closing dates Open 02/18/2025 to 03/10/2025,Software Engineer
ENGINEER/SCIENTIST,https://www.usajobs.gov/job/801318600,Naval Sea Systems Command,"Dahlgren, Virginia Dahlgren, Virginia",Not specified,Opening and closing dates Open 07/29/2024 to 07/28/2025,Software Engineer
ENGINEER/SCIENTIST,https://www.usajobs.gov/job/790997600,Naval Sea Systems Command,"Dam Neck Naval Facility, Virginia Beach, Virginia Dam Neck Naval Facility, Virginia Beach, Virginia",Not specified,Opening and closing dates Open 05/13/2024 to 05/12/2025,Software Engineer
IT Specialist (APPSW),https://www.usajobs.gov/job/828947200,Naval Supply Systems Command,"Naval Support Activity, Mechanicsburg, Pennsylvania Naval Support Activity, Mechanicsburg, Pennsylvania",Not specified,Opening and closing dates Open 01/24/2025 to 03/11/2025,Software Engineer
CIVIL ENGINEER (STRUCTURAL),https://www.usajobs.gov/job/831785600,U.S. Army Corps of Engineers,"Chicago, Illinois Chicago, Illinois",Not specified,Opening and closing dates Open 02/19/2025 to 03/12/2025,Software Engineer
Biomedical Equipment Support Specialist (Biomedical Information Systems),https://www.usajobs.gov/job/833252400,Veterans Health Administration,"Martinez, California Martinez, California",Not specified,Opening and closing dates Open 03/06/2025 to 03/20/2025,Software Engineer
Public Notice for Computer Engineer (Direct Hire),https://www.usajobs.gov/job/684261400,Federal Aviation Administration,May be filled in various FAA duty locations,Not specified,Opening and closing dates Open 09/23/2024 to 09/22/2025,Software Engineer
MECHANICAL ENGINEER,https://www.usajobs.gov/job/823034100,Naval Facilities Engineering Systems Command,"Naval Business Center, Philadelphia, Pennsylvania Naval Business Center, Philadelphia, Pennsylvania",Not specified,Opening and closing dates Open 12/12/2024 to 04/11/2025,Software Engineer
MECHANICAL ENGINEER,https://www.usajobs.gov/job/829866900,Naval Facilities Engineering Systems Command,"Naval Business Center, Philadelphia, Pennsylvania Naval Business Center, Philadelphia, Pennsylvania",Not specified,Opening and closing dates Open 01/31/2025 to 04/28/2025,Software Engineer
QUALITY ASSURANCE ENGINEER,https://www.usajobs.gov/job/830874000,Defense Contract Management Agency,"Roy, Utah Roy, Utah",Not specified,Opening and closing dates Open 02/10/2025 to 03/10/2025,Software Engineer
